the	[ðə:]	определенный артикль
has	[hæz]	имел, имела
never	['nevə]	никогда
going	['gəiŋ]	живущий, существующий, ходьба
even	['i:v(ə)n]	даже; ровно
much	[mʌtʃ]	много
went	[went]	шёл, ехал
too	[tu:]	также; слишком
away	[ə'wei]	далеко; прочь
something	['sʌmθiŋ]	что-то, что-нибудь; примерно
first	[fз:st]	первый; сначала
make	[meik]	делать, производить; совершать
head	[hed]	голова
want	[wɔnt]	хотеть
turn	[tз:n]	поворачивать(ся)
face	[feis]	лицо
made	[meid]	сделан, сделанный
seem	[si:m]	казаться
call	[kɔ:l]	призыв; звать
ask	[a:sk]	спрашивать
should	[ʃud]	1) вспом. глагол; 2) должен, следует
through	[θru:]	через , сквозь
long	[lɔŋ]	длинный; долго
let	[let]	позволять
take	[teik]	брать; доставлять; принимать
saw	[sɔ:]	видел, пила
around	[ə'raund]	кругом, вокруг; поблизости
our	['auə]	наш
door	[dɔ:]	дверь
last	[la:st]	последний
tell	[tel]	говорить
might	[mait]	мог, мог бы, энергия
own	[əun]	свой; владеть
night	[nait]	ночь; вечер
year	[jiə]	год
must	[mʌst]	должен, обязан
because	[bi:kɔz]	потому что
voice	[vɔis]	голос
such	[sʌtʃ]	такой, тот, подобный
room	[ru:m]	комната
place	[pleis]	место; помещать
those	[ðəuz]	те
work	[wз:k]	работа; работать
put	[put]	положить
bill	[bil]	счёт, законопроект, клюв
nothing	['nʌθiŋ]	ничего
most	[məust]	самый большой, наибольший
house	[haus]	дом
why	[(h)wai]	почему
may	[mei]	мочь; май
side	[said]	сторона
great	[greit]	большой, великий
these	[ði:z]	эти
white	[(h)wait]	белый
people	['pi:pl]	люди, нация, народ
upon	[ə'pɔn]	на
left	[left]	левый, налево, покинул, уехал
open	['əup(ə)n]	открывать(ся)
himself	[him'self]	себя; сам
friend	[frend]	друг
felt	[felt]	чувствовал, войлок
three	[θri:]	три
knew	[nju:]	знал
another	[ə'nʌðə]	другой
once	[wʌn(t)s]	один раз, однажды, когда-то
give	[giv]	давать
almost	['ɔ:lməust]	почти
mind	[maind]	разум; мнение
took	[tuk]	брал, хватал
light	[lait]	свет; освещать(ся)
yes	[jes]	да
love	[lʌv]	любовь, любить
end	[end]	конец; кончать(ся)
boy	[bɔi]	мальчик, парень
looking	['lukiŋ]	смотреть
while	[(h)wail]	в то время как
sound	[saund]	звук; звучать
moment	['məumənt]	миг, момент
men	[men]	люди, мужчины
ever	['evə]	когда-либо
under	['ʌndə]	под; ниже
told	[təuld]	говорил, рассказывал
really	['riəli]	действительно
life	[laif]	жизнь
world	[wз:ld]	мир, свет; вселенная
same	[seim]	тот же самый
sure	[ʃuə]	уверенный; конечно
new	[nju:]	новый
found	[faund]	находил, встречал
being	['bi:iŋ]	жизнь, существование
enough	[i'nʌf]	достаточно
gone	[gɔn]	ушли, ушёл, ушедший
many	['meni]	много, многие
big	[big]	большой
does	[dʌz]	3-е л. ед. наст. времени от do
every	['evri]	каждый, всякий
began	[bi'gæn]	начинал, начиналось
always	['ɔ:lweiz]	всегда
girl	[gз:l]	девочка, девушка
home	[həum]	дом
without	[wi'ðaut]	без, в отсутствие
heard	[h:зd]	слышал, услышал
toward(s) [tə'wɔ:dz]	к
need	[ni:d]	нуждаться
stop	[stɔp]	остановка; останавливать(ся)
maybe	['meibi]	может быть
part	[pa:t]	доля, часть, отчасти
use	[ju:z]	применение, польза; употреблять
okay	или OK [əu'kei]	хорошо!, ладно!, есть!
use	[ju:z]	использовать, применять
though	[ðəu]	хотя, даже, тем не менее
far	[fa:]	дальний; далеко
name	[neim]	имя; название
word	[wз:d]	слово
behind	[bi'haind]	за; сзади , позади
try	[trai]	пытаться, пробовать
help	[help]	помощь; помогать
also	['ɔ:lsəu]	тоже, также
better	['betə]	лучший, наилучший
mean	[mi:n]	середина; значить; подразумевать
father	['fa:ðə]	отец
against	[ə'gen(t)st]	против
anything	['eniθiŋ]	что-нибудь; что угодно
start	[sta:t]	начало; начинать(ся)
yet	[jet]	ещё, всё ещё
walk	[wɔ:k]	ходьба; ходить
woman	['wumən]	женщина
seen	[si:n]	видел
close	[kləuz]	близкий, тесный; близко; закрывать(ся)
remember	[ri'membə]	помнить, вспоминать
car	[ka:]	автомобиль, машина
between	[bi'twi:n]	между
until	[(ə)n'til]	до, (до тех пор) пока (не)
both	[bəuθ]	оба
done	[dʌn]	сделанный; выполненный
god	[gɔd]	бог
find	[faind]	находить, обнаруживать
water	['wɔ:tə]	вода
arm	[a:m]	рука;
few	[fju:]	немного; a ~ несколько
hear	[hiə]	слышать; слушать
dog	[dɔg]	собака
happen	['hæp(ə)n]	случаться
its	[its]	его, её (о предмете)
book	[buk]	книга
morning	[mɔ:niŋ]	утро, утренний
kid	[kid]	ребёнок, малыш
street	[stri:t]	улица
believe	[bi'li:v]	верить
talk	[tɔ:k]	разговор; говорить
mother	['mʌðə]	мать
kind	[kaind]	сорт, разряд; вид, класс
coming	['kʌmiŋ]	прибытие, приезд,
each	[i:tʃ]	каждый, всякий
black	[blæk]	черный
half	[ha:f]	половина
red	[red]	красный, алый, рыжий
stood	[stu:d]	стоял, водружал
young	[jʌŋ]	молодой, юный
shall	[ʃæl]	вспомогательный и модальный глагол
show	[ʃəu]	показ; показывать
feet	[fi:t]	ноги
feel	[fi:l]	чувствовать
keep	[ki:p]	держать
next	[nekst]	следующий; будущий; потом
dark	[da:k]	тёмный
along	[ə'lɔŋ]	вдоль, по, рядом
pass	[pa:s]	проход, путь, передавать
course	[kɔ:s]	курс, ход, течение
window	['windəu]	окно
dead	[ded]	мертвый
hour	[auə]	 час, время
wanted	['wɔntid]	разыскиваемый полицией
matter	[mætə]	вещество, материал, иметь значение
since	[sin(t)s]	с тех пор, с, после
cry	[krai]	плакать
heart	[ha:t]	сердце
answer	['a:n(t)sə]	ответ, отвечать; откликаться
small	[smɔ:l]	маленький
yeah	[jɛə]	да
doing	['du:iŋ]	дела, акт, действие
four	[fɔ:]	четыре
move	[mu:v]	двигать(ся)
live	[liv]	жить, существовать,
suddenly	['sʌd(ə)nli]	вдруг
five	[faiv]	пять
body	['bɔdy]	тело
fire	['faiə]	огонь; пожар; стрелять; поджигать
mouth	[mauθ]	рот
leave	[li:v]	покидать
smile	[smail]	улыбка; улыбаться
state	[steit]	государство, страна, штат
family	['fæm(ə)li]	семья
road	[rəud]	дорога, путь
front	[trʌnt]	передний
laugh	[la:f]	смех, смеяться
gave	[geiv]	давал, передавал
across	[ə'krɔs]	через, сквозь; поперек
step	[step]	шаг; шагать
quite	[kwait]	вполне, совершенно; полностью
change	[tʃeindʒ]	менять, изменять
later	['leitə']	позже, более поздний
together	[təgeðə]	вместе; совместно
soon	[su:n]	скоро, вскоре
least	[li:st]	минимальный, наименьший
second	['sek(ə)nd]	секунда; второй
kill	[kil]	убивать
watch	[wɔtʃ]	1) смотреть, следить; наблюдение; 2) часы
wife	[waif]	жена, супруга
hard	[ha:d]	жёсткий, твёрдый
wait	[weit]	ждать
sat	[sæt]	сидел, находился
feeling	['fi:liŋ]	ощущение, чувство
high	[hai]	высокий
guy	[gai]	парень
idea	[ai:diə]	идея; мысль
line	[lain]	линия; черта, строка
fear	[fiə]	боязнь, страх
miss	[mis]	потеря, утрата
bad	[bæd]	плохой
hair	[hɛə]	волосы
minute	['minit]	минута
everything	['evriθiŋ]	всё
please	[pli:z]	пожалуйста, желать, хотеть
please	[pli:z]	пожалуйста, желать, хотеть
gray	[grei]	серый, седой
follow	['fɔləu]	следовать (за)
hope	[həup]	надежда, надеяться
blood	[blʌd]	кровь
won	[wʌn]	выиграл, победил
air	[ɛə]	воздух; атмосфера
perhaps	[pə'hæps]	может быть, возможно
set	[set]	ставить, класть
tree	[tri:]	дерево, древо
run	[rʌn]	бежать
death	[deθ]	смерть
else	[els]	ещё, кроме
already	[ɔ:l'redi]	уже
myself	[mai'self]	себя, себе, собой
bed	[bed]	кровать
lot	[lot]	жребий, доля. лот
point	[pɔint]	острие; точка; пункт; смысл
money	['mʌni]	деньги
getting	['getiŋ]	получить, приобрести
rest	[rest]	отдых, отдыхать
whole	[həul]	весь, целый; полный
pull	[pul]	тянуть, тащить
business	['biznis]	дело, занятие; бизнес
either	['aiðə]	один из двух; тот или другой, или
lady	['leidi]	леди, дама
play	[plei]	играть, игра
suppose	[səpəuz]	полагать, думать
top	[tɔp]	верхушка, верхний, топ
reach	[ri:tʃ]	достигать
week	[wi:k]	неделя
thank	[θæŋk]	благодарить
wall	[wɔ:l]	стена
real	[riəl]	реальный
held	[held]	держал, обнимал
best	[best]	самый лучший, наилучший
read	[ri:d]	читать, прочитать
thinking	['θiŋkiŋ]	размышление; мышление
inside	[in'said]	внутренний; внутри
stay	[stei]	останавливаться
question	['kwestʃən]	вопрос
full	[ful]	полный
cold	[kəuld]	холодный
die	[dai]	умирать
sir	[sз:]	сэр, господин
case	[keis]	случай; обстоятельство
ran	[ræn]	бегал
sometimes	[sʌmtaimz]	иногда, временами
power	[pauə]	сила, мощь
wish	[wiʃ]	желать, хотеть, желание
dream	[dri:m]	мечта, сон
stand	[stænd]	стоять; ставить; стойка
son	[sʌn]	сын
herself	[hз:'self]	себя, себе, собой
pretty	['priti]	милый, прелестный
paper	['peipə]	бумага
shoulder	['ʃəuldə]	плечо
care	[kɛə]	забота, беспокоиться
alone	[ə'ləun]	единственный, один
making	['meikiŋ]	создание, становление
near	[niə]	возле, ближний
finger	['fiŋgə]	палец (на руке)
hold	[həuld]	держать; владеть; вмещать
return	[ri'tз:n]	возвращаться
fact	[fækt]	факт; событие; случай
understand	[,ʌndə'stænd]	понимать
guess	[ges]	гадать, догадываться
table	['teibl]	стол
dear	[diə]	дорогой, милый, любимый
trying	['traiiŋ]	трудный, тяжёлый
fell	[fel]	падал, упал
floor	[flɔ:]	пол; этаж
mile	[mail]	миля
probably	['prɔbəbli]	вероятно, наверное
type	[taip]	тип
deep	[di:p]	глубокий
glass	[gla:s]	стекло, стакан, бокал
standing	['stændiŋ]	репутация; ранг, стоящий
trouble	['trʌbl]	беспокойство, волнение
however	[hau'evə]	однако, тем не менее
taken	['teik(ə)n 	прич. прош. вр. от take
hey	[hei]	здорово!, привет!, эй!
sort	[sɔ:t]	род, сорт, тип
lay	[lei]	класть, положить
town	[taun]	город; городок
sleep	[sli:p]	сон; дремота
school	[sku:l]	школа
lost	[lɔst]	потерянный, потерявшийся
green	[gri:n]	зелёный
gonna	['g(ə)nə]	собираться (что-л. сделать)
lip	[lip]	губа
round	[raund]	круглый
clear	[kliə]	ясно, чётко, чистый
having	['hæviŋ]	владение, обладание
scream	[skri:m]	крик, вопить
touch	[tʌtʃ]	касаться, трогать
blue	[blu:]	голубой; лазурный; синий
hundred	['hʌndrid]	сто
known	[nəun]	прич. прош. вр. от know
running	['rʌniŋ]	бегающий, беготня
large	[la:dʒ]	большой, крупный
surprise	[sə'praiz]	удивление
beside	[bi'said]	рядом с; близ, около
talking	['tɔ:kiŋ]	разговор, говорящий
ten	[ten]	десять
less	[les]	меньший, меньше
letter	['letə]	буква
twenty	['twenti]	двадцать
snow	[snəu]	снег
kept	[kept]	прош. вр., прич. прош. вр. от keep
brought	[brɔ:t]	прош. вр., прич. прош. вр. от bring
someone	['sʌmwʌn]	кто-нибудь, кто-то
past	[pa:st]	прошлое; прошедшее
country	['kʌntri]	страна
leg	[leg]	нога (от бедра до ступни)
pick	[pik]	собирать, снимать; рвать
brother	['brʌðə]	брат
wood	[wud]	лес, древесина
women	['wimin]	женщины
wrong	[rɔŋ]	неправильный, неверный
sense	[sen(t)s]	чувство; ощущение
hurt	[hз:t]	ушиб; рана; травма
cut	[kʌt]	резать
drop	[drɔp]	капать, опускать
ring	[riŋ]	кольцо, ринг, звенеть
sitting	['sitiŋ]	заседание, собрание
true	[tru:]	верный, правильный
poor	[puə]	бедный, малоимущий
order	['ɔ:də]	исправность, порядок
fang	[fæŋ]	клык, зуб, крюк
child	[tʃaild]	ребёнок; дитя
ready	['redi]	готовый
land	[lænd]	земля, суша
hot	[hɔt]	горячий; жаркий
speak	[spi:k]	говорить, разговаривать
children	['tʃildr(ə)n]	дети
fine	[fain]	хороший, прекрасный, отлично
given	[giv(ə)n]	нечто данное, исходное, данный
able	['eibl]	способный
become	[bi'kʌm]	становиться, делаться
low	[ləu]	низкий, невысокий
person	['pз:s(ə)n]	человек; личность,
evening	['i:vniŋ]	вечер
outside	[,aut'said]	внешняя, наружная часть
listen	['lis(ə)n]	слушать; выслушивать
wind	[wind]	ветер
smell	[smel]	запах; аромат
chair	[tʃɛə]	стул; кресло
six	[siks]	шесть
forward	['fɔ:wəd]	вперёд! передний
hill	[hil]	возвышенность, холм
reason	['ri:z(ə)n]	причина, повод, основание
ground	[graund]	земля
above	[ə'bʌv]	наверху, вверху; выше
chance	[tʃa:n(t)s]	шанс, возможность
story	['stɔ:ri]	повесть, рассказ
late	[leit]	поздний; поздно
saying	['seiiŋ]	высказывание, поговорка
star	[sta:]	звезда
husband	['hʌzbənd]	муж, супруг
ago	[ə'gəu]	тому назад
except	[ik'sept]	исключать, за исключением
lord	[lɔ:d]	господин, владыка
sorry	['sɔri]	огорчённый, сожалеющий
number	['nʌmbə]	число; сумма, цифра
roll	[rəul]	катиться, вращение
longer	{lɔŋgə]	дольше
rock	[rɔk]	скала, камень
learn	[lз:n]	учиться; учить
often	['of(t)(ə)n]	часто, много раз
although	[ɔ:l'ðəu]	хотя, если бы даже
shit	[ʃit]	дерьмо, вздор, чёрт!, блин!
sister	['sistə]	сестра
strange	[streindʒ]	чужой, странный
bring	[briŋ]	приносить, привозить
pain	[pein]	боль, горе
nod	[nɔd]	кивок, кивать
fall	[fɔ:l]	падать, осень (амер.)
finally	['fain(ə)li]	окончательно
among	[ə'mʌŋ]	между, посреди
cause	[kɔ:z]	причина, основание, потому что
afraid	[ə:freid]	испуганный, напуганный
notice	['nəutis]	сообщение, уведомление, замечать
sun	[sʌn]	солнце
month	[mʌnθ]	месяц
shut	[ʃʌt]	закрывать, запирать, засов
box	[bɔks]	ящик, коробка
hell	[hel]	ад
office	['ɔfis]	офис
during	['djuəriŋ]	в течение, в продолжение
wonder	['wʌndə]	удивление, удивляться
beyond	[bi'jɔnd]	за, по ту сторону, далеко
became	[bi'keim]	становился, делался
shadow	['ʃædəu]	тень
slowly	['sləuli]	медленно
instead	[in'stead]	вместо; взамен
ear	[iə]	ухо
picture	['piktʃə]	картина; рисунок, фотография
interest	['int(ə)rəst]	интерес
cannot	['kænɔt]	не могу, не мочь
present	[prez(ə)nt]	текущий момент; настоящее время
bit	[bit]	кусочек; частица
living	['liviŋ]	образ жизни, жизнь, живущий,
remain	[ri'mein]	оставаться
appear	[ə'piə]	показываться; появляться
store	[stɔ:]	магазин, запас, резерв
marry	['mæri]	жениться
rather	['ra:ðə]	лучше, охотнее
doubt	[daut]	сомнение, сомневаться
teeth	[ti:θ]	зубы
force	[fɔ:s]	сила
spoke	[spəuk]	говорил, сказал
finish	['finiʃ]	конец, окончание, заканчивать
indeed	[in'di:d]	в самом деле, действительно
seat	[si:t]	сиденье, место
nor	[nɔ:]	также не, тоже не
save	[seiv]	спасать
job	[dʒɔb]	работа, труд
war	[wɔ:]	война
dress	[dres]	одежда, платье
cover	['kʌvə]	накрывать, покрывать, крышка, обложка
realize	['riəlaiz]	выполнять, реализовывать
gun	[gʌn]	орудие, пушка, пистолет, револьвер
heavy	['hevi]	тяжёлый, крупный
waiting	['weitiŋ]	ожидание, выжидание
fellow	['feləu]	человек, парень
sign	[sain]	знак; символ, подписывать
stuff	[stʌf]	материал, состав, вещество
decide	[di'said]	решать, принимать решение
expect	[ik'spekt]	ждать, ожидать
hit	[hit]	ударять; поражать
corner	['kɔ:nə]	угол
beaver	[bi:və]	бобр, бобёр; женские половые органы (киска)
king	[kiŋ]	король
happy	['hæpi]	счастливый, довольный
phone	[fəun]	телефон
several	['sev(ə)r(ə)l]	некоторые, несколько
city	['siti]	город
news	[nju:z]	новости
summer	['sʌmə]	лето
different	['dif(ə)r(ə)nt]	другой, отличный
sit	[sit]	сидеть; садиться
actually	[æktʃuəli]	фактически, на самом деле
caught	[kɔ:t]	прош. вр., прич. прош. вр. от catch
taking	['teikiŋ]	захват, взятие
broken	['brəuk(ə)n]	разбитый, сломанный
early	['з:li]	начальный, ранний
bright	[brait]	яркий; блестящий
daughter	['dɔ:tə]	дочь
enter	['entə]	вход, входить
shot	[ʃɔt]	выстрел
carry	['kæri]	нести, носить
foot	[fut]	ступня
scare	[skɛə]	пугать; испугать
tad	[tæd]	ребёнок, капелька, чуточка
holding	['həuldiŋ]	вклад, закрепление, удерживание
human	['hju:mən]	людской, человеческий
whatever	[(h)wɔt'evə]	какой бы ни; любой
yourself	[jɔ:'self]	себя, себе, собой
form	[fɔ:m]	форма, вид
worry	['wʌri]	надоедать; докучать
shook	[ʃuk]	тряс, встряхивал
exactly	[ig'zæktli]	в точности; точно
neck	[nek]	шея
fill	[fil]	наполнять
certain	['sз:t(ə)n]	точный, определённый
nose	[nəuz]	нос
brutal	['bru:tl]	жестокий, горький, брутальный
continue	[kən'tinju:]	продолжать
drink	[driŋk]	пить
free	[fri]	свободный, вольный
sky	[skai]	небо
mark	[ma:k]	марка, маркировать
company	['kʌmpəni]	общество, компания
breath	[breθ]	дыхание; вздох
reply	[ri'plai]	ответ, отклик
fat	[fæt]	толстый, жирный
park	[pa:k]	парк, парковка
rose	[rəuz]	роза, розовый
whose	[hu:z]	чей, чьё, чьи, чья
figure	['figə]	фигура
lie	[lai]	ложь, лгать
act	[ækt]	действовать, дело, поступок
anyway	['enivei]	как бы то ни было, в любом случае
cross	[krɔs]	крест, пересекать
master	['ma:stə]	главный, старший; мастер
game	[geim]	игра
pocket	['pɔkit]	карман, мешочек
stone	[stəun]	камень
strong	[strɔŋ]	сильный, сильно
russian	['rʌʃ(ə)n]	русский
horse	[hɔ:s]	лошадь
baby	['beibi]	ребёнок, младенец
knee	[ni:]	колено
police	[pə'li:s]	полиция
silence	['sailən(t)s]	тишина, безмолвие
watching	[wɔtʃiŋ]	наблюдение
afternoon	[a:ftə'nu:n]	время после полудня, дневное время
dollar	['dɔlə]	доллар
eat	[i:t]	есть
deal	[di:l]	сделка, соглашение, раздача
fast	[fast]	быстро, быстрый, скорый
add	[æd]	прибавлять, добавлять
itself	[it'self]	себя, себе, сам
none	[nʌn]	ничуть, никто
check	[tʃek]	проверять, контроль, чек
sonny	['sʌni]	сынок
cheek	[tʃi:k]	щека
meant	[ment]	прош. вр., прич. прош. вр. от mean
push	[ruʃ]	толкать; пихать
nature	['neitʃə]	природа
fucking	['fʌkiŋ]	проклятый, чёртов, офигенно
struck	[strʌk]	прош. вр., прич. прош. вр. от strike
tear	[tɛə]	рвать, разрывать, слеза
chapter	[tʃæptə]	глава (книги)
middle	['midi]	середина, центр, средний
note	[nəut]	заметка, запись
crazy	['kreizi]	сумасшедший, безумный
sent	[sent]	послал, отправил
smoke	[sməuk]	курить, курение, дым
bird	[bз:d]	птица
raise	[reiz]	поднимать
promise	['prɔmis]	обещание, обещать
thousand	['θauz(ə)nd]	тысяча
hall	[hɔ:l]	холл, вестибюль; фойе
nice	[nais]	хороший, приятный, милый
moving	['mu:viŋ]	движение, перемещение
seeing	['si:iŋ]	видение, принимая во внимание
whom	[hu:m]	кого
law	[lɔ:]	закон, право
meet	[mi:t]	встречаться, видеться
quiet	['kwaiət]	тихий, бесшумный, спокойный,
sight	[sait]	зрение, вид; зрелище
throat	[θrəut]	горло, гортань; глотка
wide	[waid]	широкий
desire	[di'zaiə]	жаждать, очень хотеть
hole	[həul]	дыра; отверстие; прорезь
certainly	['sз:t(ə)nli]	конечно, естественно
terrible	['terəbl]	страшный, ужасный
earth	[з:θ]	земля, суша
kiss	[kis]	целовать, поцелуй
lock	[lɔk]	локон, замок, затвор
manner	['mænə]	манера, поведение; метод
party	['pa:ti]	партия, вечеринка
movie	['mu:vi]	кинофильм, фильм
possible	['pɔsəbl]	вероятный, возможный
kitchen	['kitʃin]	кухня
piece	[pi:s]	кусок, штука
attention	[ə'ten(t)ʃ(ə)n]	внимание, внимательность
silver	['silvə]	серебро, серебряный
damn	[dæm]	проклятие; ругательство
folk	[fəuk]	народный, люди
glance	[gla:n(t)s]	блеснуть, сверкнуть
themselves	[ðəm'selvz]	себя, себе, собой
laughing	['la:fiŋ]	смех, хохот
pay	[pei]	платить
fuck	[fʌk]	трахать, трахаться
easy	['i:zi]	лёгкий, легко
west	[west]	запад
whisper	['(h)wispə]	говорить шёпотом, шептать
today	[tə'dei]	сегодня
telling	['teliŋ]	сильный, эффектный
shirt	[ʃз:t]	рубашка; блуза; сорочка
ahead	[ə'hed]	вперёд; впереди, будущий
till	[til]	до, не раньше
walking	['wɔ:kiŋ]	ходьба, походка
edge	[edʒ]	край; грань, граница
empty	['empti]	пустой, полый
quickly	['kwikli]	быстро, скоро, поспешно
north	[nɔ:θ]	север, северный
simply	['simpli]	легко, просто; несложно
tire	['taiə]	утомляться, уставать, шина
food	[fu:d]	пища, питание; еда
somehow	['sʌmhau]	как-нибудь, как-то
clock	[klɔk]	часы, время
nearly	['niəli]	близко
bag	[bæg]	мешок; сумка
clothes	[kləuðz]	одежда, платье
south	[sauθ]	юг, южный
american	[əmerikən]	американский
unite	[ju:nait]	объединять, соединять
pleasure	['plezə]	удовольствие
river	['rivə]	река
problem	['prɔbləm]	проблема; задача
below	[bi'ləu]	внизу, ниже
break	[breik]	ломать, перерыв, пауза
couple	['kʌpl]	пара, два, двое
report	[ri'pɔ:t]	доклад, рапорт, докладывать
key	[ki:]	ключ, клавиша, кнопка
shape	[ʃeip]	форма, очертание, вид
within	[wi'ðin]	в, внутри
third	[θз:d]	третий, треть
anyone	['eniwʌn]	кто-нибудь, никто
count	[kaunt]	вычисление, счёт, считать
quick	[kwik]	быстрый, скорый
seven	['sev(ə)n]	семь
plan	[plæn]	план; проект, планировать
tonight	[tə:nait]	сегодня вечером, сегодня ночью
path	[pa:θ]	тропинка; дорожка, путь
yellow	['jeləu]	жёлтый
drive	[draiv]	ездить; ехать, водить
huge	[hju:dʒ]	большой, гигантский
bank	[bæŋk]	банк
control	[kən'trəul]	управление, контроль
memory	['mem(ə)ri]	память
working	['wз:kiŋ]	обработка, работающий
brain	[brein]	мозг
goes	[gəuz]	идёт
met	[met]	встречал, встречался
professor	[prə'fesə]	профессор, преподаватель
mine	[main]	мой; моя; моё, рудник, мина
wearing	['wɛəriŋ]	предназначенный для носки
grew	[gru:]	рос, вырастил
animal	['ænim(ə)l]	животное; зверь
glad	[glæd]	рад, доволен, счастлив
hurry	['hʌri]	торопиться, спешить, спешка
silent	['sailənt]	безмолвный, бесшумный
thirty	['θз:ti]	тридцать
hardly	['ha:dli]	едва, еле, насилу
mountain	['mauntin]	гора
ball	[bɔ:l]	мяч, шар, бал, танцы
thin	[θin]	тонкий, худой
direction	[di'rekʃ(ə)n]	направление, указание
drew	[dru:]	рисовал, чертил
ham	[hæm]	ветчина, окорок, бедро
important	[in'pɔ:t(ə)nt]	важный, значительный
led	[led]	прош. вр., прич. прош. вр. от lead
grab	[græb]	схватывать, хватать
receive	[ri'si:v]	получить
wolf	[wulf]	волк
knock	[nɔk]	стучать, барабанить
slip	[slip]	скользить
loud	[laud]	громкий; звучный
brown	[braun]	коричневый; бурый
eight	[eit]	восемь
wheel	[(h)wi:l]	колесо
beautiful	['bju:təful]	красивый, привлекательный
begin	[bi'gin]	начинать, начинаться
hate	[heit]	ненависть, ненавидеть
lying	['laiiŋ]	лживый, ложный
retrieve	[ri'tri:v]	отыскать, поиск
secret	['si:krət]	секрет, тайна
wild	[waild]	дикий (о животных); дикорастущий
color	['kʌlə]	цвет; оттенок
fair	[fɛə]	честный, справедливый
east	[i:st]	восток
wing	[wiŋ]	крыло
main	[mein]	главная часть; основное
visit	['vizit]	посещение, визит
following	['fɔləuiŋ]	следующий (во времени и в пространстве); последующий
sharp	[ʃa:p]	острый, ровно, точно
subject	['sʌbdʒekt]	тема, предмет разговора
understood	[ʌndə'stud]	прош. вр., прич. прош. вр. от understand
lake	[leik]	озеро
page	[peidʒ]	лист, страница
skin	[skin]	кожа, мех, шкура
station	['steiʃ(ə)n]	пункт, станция
study	['stʌdi]	учёба, изучение
spring	[spriŋ]	весна, прыгать, скакать
account	[ə'kaunt]	счёт (в банке)
